loan_amnt,int_rate,grade,emp_length,annual_inc,loan_status,purpose
23100.0,20.5,E,2 years,110000.0,Charged Off,car
27300.0,17.27,D,10+ years,65000.0,Charged Off,home_improvement
25000.0,11.48,B,10+ years,135000.0,Fully Paid,credit_card
15000.0,10.78,B,1 year,40000.0,Fully Paid,credit_card
10000.0,16.59,D,< 1 year,30000.0,Fully Paid,debt_consolidation
18500.0,12.88,C,10+ years,70000.0,Fully Paid,debt_consolidation
5000.0,7.91,A,6 years,32000.0,Fully Paid,credit_card
9000.0,9.17,B,1 year,50000.0,Fully Paid,debt_consolidation
11000.0,6.49,A,10+ years,85000.0,Fully Paid,credit_card
20000.0,6.49,A,6 years,55000.0,Fully Paid,debt_consolidation
15000.0,5.32,A,,80000.0,Fully Paid,debt_consolidation
12000.0,5.32,A,4 years,53750.0,Fully Paid,debt_consolidation
8000.0,10.78,B,< 1 year,45000.0,Fully Paid,debt_consolidation
12000.0,10.78,B,3 years,40000.0,Fully Paid,credit_card
18000.0,7.49,A,5 years,75000.0,Fully Paid,debt_consolidation
3600.0,11.48,B,< 1 year,85000.0,Fully Paid,debt_consolidation
7200.0,17.27,D,9 years,20000.0,Charged Off,debt_consolidation
15000.0,13.44,C,4 years,77213.0,Fully Paid,credit_card
5000.0,9.8,B,6 years,72000.0,Fully Paid,other
11550.0,16.59,D,5 years,38000.0,Charged Off,credit_card
33600.0,10.78,B,8 years,104000.0,Fully Paid,debt_consolidation
17925.0,17.27,D,10+ years,39000.0,Current,debt_consolidation
17475.0,13.99,C,2 years,39750.0,Charged Off,debt_consolidation
9000.0,8.49,B,8 years,47000.0,Fully Paid,debt_consolidation
12000.0,9.8,B,10+ years,65000.0,Fully Paid,debt_consolidation
4000.0,9.17,B,2 years,44500.0,Fully Paid,debt_consolidation
10500.0,15.77,D,3 years,70100.0,Fully Paid,credit_card
14000.0,9.8,B,4 years,100000.0,Fully Paid,medical
6000.0,7.91,A,10+ years,105000.0,Fully Paid,car
16000.0,12.88,C,10+ years,90000.0,Current,home_improvement
15000.0,9.8,B,3 years,92000.0,Fully Paid,debt_consolidation
12000.0,9.17,B,4 years,39400.0,Fully Paid,debt_consolidation
10000.0,11.48,B,2 years,33000.0,Fully Paid,debt_consolidation
4200.0,13.99,C,2 years,32000.0,Fully Paid,other
35000.0,20.5,E,8 years,120000.0,Fully Paid,debt_consolidation
5475.0,18.99,E,10+ years,108000.0,Charged Off,debt_consolidation
16000.0,7.91,A,2 years,60000.0,Current,debt_consolidation
6000.0,13.44,C,3 years,38700.0,Fully Paid,debt_consolidation
24000.0,9.17,B,10+ years,75000.0,Fully Paid,debt_consolidation
10000.0,12.88,C,< 1 year,60000.0,Fully Paid,debt_consolidation
6900.0,19.89,E,10+ years,80000.0,Fully Paid,debt_consolidation
22400.0,9.8,B,10+ years,48000.0,Current,credit_card
15975.0,16.59,D,4 years,58800.0,Fully Paid,debt_consolidation
21600.0,13.44,C,9 years,54000.0,Fully Paid,debt_consolidation
24000.0,13.99,C,8 years,82193.0,Current,credit_card
14400.0,19.48,E,3 years,73320.0,Charged Off,debt_consolidation
8000.0,13.99,C,< 1 year,42000.0,Fully Paid,other
7000.0,13.99,C,2 years,83000.0,Fully Paid,debt_consolidation
20000.0,10.78,B,< 1 year,55000.0,Fully Paid,debt_consolidation
25825.0,26.06,F,6 years,68000.0,Charged Off,debt_consolidation
24575.0,22.45,F,10+ years,92000.0,Fully Paid,debt_consolidation
3200.0,8.49,B,10+ years,30407.0,Fully Paid,medical
22875.0,15.77,D,10+ years,137000.0,Fully Paid,debt_consolidation
16000.0,14.85,C,10+ years,80000.0,Current,debt_consolidation
35000.0,13.44,C,< 1 year,125000.0,Fully Paid,debt_consolidation
2400.0,17.27,D,2 years,52000.0,Fully Paid,home_improvement
25000.0,7.49,A,,132000.0,Fully Paid,debt_consolidation
8800.0,12.88,C,2 years,55000.0,Fully Paid,credit_card
2500.0,11.48,B,,16488.0,Fully Paid,debt_consolidation
8000.0,5.32,A,1 year,50000.0,Fully Paid,credit_card
20000.0,11.99,C,10+ years,78000.0,Charged Off,debt_consolidation
35000.0,12.88,C,10+ years,110000.0,Charged Off,major_purchase
15000.0,7.49,A,,45000.0,Fully Paid,debt_consolidation
16000.0,15.77,D,1 year,70000.0,Charged Off,debt_consolidation
10800.0,13.99,C,3 years,40000.0,Fully Paid,debt_consolidation
7500.0,17.97,D,10+ years,15000.0,Fully Paid,debt_consolidation
16000.0,10.78,B,5 years,63000.0,Charged Off,debt_consolidation
9000.0,5.32,A,10+ years,49000.0,Fully Paid,credit_card
9500.0,15.77,D,10+ years,28000.0,Fully Paid,other
10000.0,7.91,A,2 years,25000.0,Charged Off,debt_consolidation
6000.0,7.91,A,10+ years,49000.0,Fully Paid,debt_consolidation
15600.0,13.44,C,10+ years,52000.0,Fully Paid,major_purchase
35000.0,8.49,B,< 1 year,90000.0,Fully Paid,debt_consolidation
5000.0,11.48,B,9 years,78000.0,Fully Paid,debt_consolidation
20400.0,18.49,D,2 years,75000.0,Fully Paid,credit_card
8000.0,17.97,D,,33130.0,Charged Off,debt_consolidation
16000.0,10.78,B,3 years,87500.0,Fully Paid,debt_consolidation
18000.0,7.91,A,10+ years,80000.0,Charged Off,debt_consolidation
35000.0,9.17,B,1 year,105000.0,Fully Paid,debt_consolidation
13150.0,5.32,A,1 year,40000.0,Fully Paid,major_purchase
5600.0,9.17,B,8 years,48000.0,Fully Paid,credit_card
23000.0,9.8,B,9 years,90247.0,Fully Paid,credit_card
12600.0,14.85,C,1 year,175000.0,Fully Paid,credit_card
11000.0,16.59,D,8 years,55000.0,Fully Paid,debt_consolidation
4000.0,11.99,C,3 years,41501.0,Fully Paid,debt_consolidation
20000.0,13.44,C,9 years,75000.0,Current,debt_consolidation
20000.0,11.48,B,5 years,60000.0,Fully Paid,debt_consolidation
10000.0,9.17,B,10+ years,59307.0,Fully Paid,credit_card
18850.0,21.48,E,< 1 year,55000.0,Charged Off,debt_consolidation
21000.0,11.99,C,10+ years,82000.0,Fully Paid,debt_consolidation
10500.0,8.49,B,4 years,60000.0,Fully Paid,debt_consolidation
4575.0,17.27,D,5 years,56000.0,Charged Off,house
5000.0,11.48,B,1 year,17000.0,Fully Paid,other
8000.0,6.99,A,,45000.0,Fully Paid,home_improvement
5000.0,11.99,C,1 year,30000.0,Charged Off,debt_consolidation
9075.0,5.32,A,10+ years,40000.0,Fully Paid,credit_card
24000.0,12.88,C,2 years,75181.21,Current,debt_consolidation
12500.0,7.49,A,10+ years,52000.0,Fully Paid,credit_card
19600.0,15.77,D,8 years,80000.0,Charged Off,debt_consolidation
35000.0,13.99,C,2 years,90000.0,Fully Paid,debt_consolidation
28000.0,8.49,B,1 year,75000.0,Fully Paid,debt_consolidation
14000.0,15.77,D,1 year,45500.0,Charged Off,debt_consolidation
16000.0,9.8,B,,99906.0,Fully Paid,credit_card
14000.0,5.32,A,4 years,120000.0,Fully Paid,debt_consolidation
24000.0,8.49,B,8 years,72000.0,Fully Paid,debt_consolidation
35000.0,13.99,C,6 years,75000.0,Fully Paid,debt_consolidation
14550.0,15.77,D,10+ years,70000.0,Current,debt_consolidation
8000.0,11.48,B,< 1 year,21610.0,Fully Paid,credit_card
32400.0,9.8,B,10+ years,106284.0,Current,credit_card
3600.0,13.44,C,1 year,25000.0,Fully Paid,debt_consolidation
10500.0,13.99,C,10+ years,110000.0,Fully Paid,debt_consolidation
3000.0,11.48,B,10+ years,105000.0,Fully Paid,home_improvement
16000.0,14.85,C,2 years,43000.0,Fully Paid,credit_card
8000.0,7.49,A,10+ years,57000.0,Fully Paid,debt_consolidation
19500.0,7.49,A,< 1 year,85000.0,Fully Paid,debt_consolidation
2000.0,8.49,B,8 years,140000.0,Fully Paid,other
16000.0,5.32,A,8 years,96000.0,Fully Paid,debt_consolidation
3500.0,10.78,B,8 years,122400.0,Fully Paid,vacation
14000.0,9.17,B,4 years,94000.0,Current,debt_consolidation
24000.0,11.48,B,3 years,95000.0,Fully Paid,debt_consolidation
6000.0,5.32,A,2 years,120000.0,Fully Paid,credit_card
24000.0,7.91,A,9 years,100000.0,Fully Paid,debt_consolidation
14875.0,18.49,D,3 years,37231.0,Charged Off,debt_consolidation
10000.0,11.99,C,7 years,45000.0,Fully Paid,other
15000.0,6.99,A,2 years,93000.0,Fully Paid,credit_card
10000.0,5.32,A,10+ years,68000.0,Fully Paid,credit_card
18000.0,9.17,B,10+ years,97000.0,Current,major_purchase
24000.0,19.48,E,10+ years,97000.0,Fully Paid,debt_consolidation
23525.0,17.97,D,5 years,70000.0,Fully Paid,debt_consolidation
12000.0,9.17,B,10+ years,68000.0,Current,credit_card
11000.0,10.78,B,10+ years,297000.0,Fully Paid,other
24000.0,9.17,B,2 years,210000.0,Fully Paid,debt_consolidation
15000.0,16.59,D,8 years,42900.0,Current,debt_consolidation
16000.0,8.49,B,10+ years,140000.0,Fully Paid,credit_card
15000.0,7.91,A,5 years,90000.0,Charged Off,debt_consolidation
5000.0,11.99,C,8 years,60000.0,Charged Off,debt_consolidation
19100.0,10.78,B,10+ years,115000.0,Current,debt_consolidation
15000.0,10.78,B,3 years,85000.0,Fully Paid,credit_card
30000.0,18.49,D,2 years,85000.0,Current,debt_consolidation
15000.0,9.8,B,10+ years,60000.0,Fully Paid,credit_card
3500.0,13.99,C,10+ years,105000.0,Fully Paid,other
20000.0,9.17,B,2 years,130000.0,Fully Paid,debt_consolidation
10000.0,13.44,C,7 years,30160.0,Current,credit_card
35000.0,18.49,D,9 years,132500.0,Fully Paid,debt_consolidation
16000.0,14.85,C,10+ years,90000.0,Late (31-120 days),credit_card
2000.0,11.99,C,10+ years,180000.0,Fully Paid,other
12000.0,9.8,B,2 years,39500.0,Fully Paid,credit_card
8000.0,6.99,A,1 year,80000.0,Fully Paid,credit_card
10000.0,9.8,B,10+ years,92000.0,Charged Off,debt_consolidation
25000.0,7.91,A,10+ years,76500.0,Current,credit_card
35000.0,13.99,C,10+ years,100000.0,Fully Paid,debt_consolidation
25600.0,7.91,A,3 years,150000.0,Fully Paid,debt_consolidation
4325.0,11.99,C,10+ years,90000.0,Fully Paid,major_purchase
6000.0,6.99,A,10+ years,48000.0,Fully Paid,credit_card
18200.0,15.77,D,8 years,65000.0,Charged Off,credit_card
10000.0,6.99,A,3 years,54000.0,Fully Paid,credit_card
30000.0,13.44,C,5 years,81000.0,Fully Paid,debt_consolidation
13200.0,5.32,A,2 years,150000.0,Fully Paid,home_improvement
10000.0,6.99,A,5 years,220000.0,Fully Paid,debt_consolidation
3000.0,11.48,B,5 years,75000.0,Fully Paid,debt_consolidation
20000.0,9.8,B,10+ years,96000.0,Fully Paid,debt_consolidation
13875.0,11.99,C,10+ years,32500.0,Fully Paid,credit_card
18000.0,6.49,A,10+ years,76000.0,Fully Paid,debt_consolidation
15225.0,8.49,B,3 years,40000.0,Charged Off,debt_consolidation
16000.0,11.48,B,6 years,65000.0,Charged Off,debt_consolidation
21000.0,9.8,B,7 years,125000.0,Charged Off,other
13000.0,16.59,D,< 1 year,40000.0,Charged Off,debt_consolidation
20000.0,7.91,A,5 years,120000.0,Fully Paid,major_purchase
31075.0,7.49,A,10+ years,70000.0,Fully Paid,credit_card
18000.0,6.99,A,10+ years,120000.0,Fully Paid,credit_card
5000.0,9.17,B,,74967.0,Fully Paid,other
4675.0,17.27,D,< 1 year,13000.0,Fully Paid,credit_card
6000.0,9.8,B,4 years,85140.0,Fully Paid,debt_consolidation
12000.0,12.88,C,10+ years,90000.0,Fully Paid,debt_consolidation
13000.0,13.99,C,10+ years,115000.0,Fully Paid,home_improvement
1800.0,11.48,B,10+ years,50000.0,Fully Paid,other
4475.0,16.59,D,10+ years,114000.0,Fully Paid,credit_card
14400.0,6.49,A,8 years,70000.0,Fully Paid,debt_consolidation
5875.0,7.91,A,5 years,70000.0,Fully Paid,debt_consolidation
20000.0,17.97,D,7 years,180000.0,Fully Paid,debt_consolidation
10000.0,6.99,A,5 years,115000.0,Fully Paid,debt_consolidation
34100.0,12.88,C,8 years,92892.0,Fully Paid,debt_consolidation
24000.0,11.48,B,3 years,56457.0,Fully Paid,credit_card
30000.0,18.49,D,8 years,300000.0,Current,debt_consolidation
5200.0,10.78,B,7 years,160000.0,Fully Paid,debt_consolidation
16800.0,11.99,C,< 1 year,50000.0,Fully Paid,debt_consolidation
10000.0,11.99,C,7 years,40000.0,Fully Paid,debt_consolidation
22000.0,17.97,D,10+ years,55000.0,Fully Paid,debt_consolidation
28000.0,5.32,A,10+ years,144000.0,Fully Paid,debt_consolidation
7200.0,6.49,A,10+ years,60000.0,Fully Paid,credit_card
18000.0,11.99,C,9 years,41000.0,Fully Paid,debt_consolidation
8400.0,7.49,A,1 year,30000.0,Fully Paid,debt_consolidation
5000.0,14.85,C,2 years,67000.0,Fully Paid,credit_card
5000.0,9.8,B,10+ years,55000.0,Charged Off,debt_consolidation
2400.0,11.48,B,5 years,60000.0,Charged Off,debt_consolidation
15000.0,5.32,A,9 years,60000.0,Fully Paid,debt_consolidation
6075.0,9.17,B,9 years,64400.0,Fully Paid,debt_consolidation
20000.0,10.78,B,2 years,55000.0,Fully Paid,debt_consolidation
6025.0,14.85,C,10+ years,110000.0,Fully Paid,debt_consolidation
8400.0,9.17,B,2 years,70000.0,Fully Paid,debt_consolidation
15000.0,12.88,C,2 years,90000.0,Fully Paid,debt_consolidation
19200.0,8.49,B,10+ years,72000.0,Current,debt_consolidation
12000.0,15.77,D,< 1 year,143000.0,Fully Paid,debt_consolidation
28800.0,12.88,C,8 years,60000.0,Fully Paid,home_improvement
5000.0,5.32,A,10+ years,60000.0,Fully Paid,debt_consolidation
5000.0,12.88,C,7 years,60000.0,Fully Paid,home_improvement
31500.0,11.99,C,10+ years,120000.0,Fully Paid,debt_consolidation
24000.0,18.49,D,10+ years,165000.0,Fully Paid,debt_consolidation
20000.0,12.88,C,< 1 year,110000.0,Charged Off,debt_consolidation
24000.0,10.78,B,2 years,110000.0,Fully Paid,debt_consolidation
21850.0,17.27,D,10+ years,65000.0,Fully Paid,debt_consolidation
9500.0,6.49,A,10+ years,126500.0,Fully Paid,home_improvement
20000.0,8.49,B,10+ years,98000.0,Fully Paid,debt_consolidation
20000.0,13.44,C,8 years,59000.0,Current,credit_card
20000.0,16.59,D,10+ years,135000.0,Charged Off,home_improvement
20000.0,12.88,C,< 1 year,65000.0,Fully Paid,credit_card
25200.0,13.44,C,2 years,78000.0,Current,credit_card
12000.0,6.99,A,10+ years,50000.0,Fully Paid,credit_card
10000.0,12.88,C,10+ years,65000.0,Fully Paid,debt_consolidation
12000.0,9.8,B,10+ years,36500.0,Fully Paid,debt_consolidation
12000.0,7.91,A,8 years,75000.0,Fully Paid,debt_consolidation
6425.0,15.77,D,1 year,41000.0,Fully Paid,debt_consolidation
12700.0,17.97,D,3 years,32760.0,Fully Paid,debt_consolidation
35000.0,13.99,C,10+ years,121000.0,Fully Paid,credit_card
16000.0,13.44,C,5 years,110000.0,Current,debt_consolidation
15000.0,13.99,C,2 years,48000.0,Charged Off,credit_card
20550.0,16.59,D,10+ years,60000.0,Fully Paid,debt_consolidation
25000.0,6.99,A,10+ years,127000.0,Fully Paid,home_improvement
14000.0,19.48,E,10+ years,115000.0,Fully Paid,debt_consolidation
16925.0,21.48,E,10+ years,47000.0,Charged Off,major_purchase
4700.0,13.44,C,3 years,22000.0,Fully Paid,debt_consolidation
5000.0,8.49,B,,25000.0,Fully Paid,debt_consolidation
12000.0,14.85,C,2 years,92500.0,Fully Paid,debt_consolidation
12000.0,9.8,B,10+ years,55000.0,Fully Paid,debt_consolidation
15000.0,6.99,A,1 year,117000.0,Fully Paid,debt_consolidation
4900.0,13.44,C,2 years,123000.0,Fully Paid,debt_consolidation
18000.0,7.49,A,< 1 year,70000.0,Fully Paid,credit_card
18000.0,14.85,C,5 years,48000.0,Charged Off,debt_consolidation
25000.0,17.27,D,10+ years,120000.0,Charged Off,debt_consolidation
15000.0,12.88,C,10+ years,50000.0,Fully Paid,debt_consolidation
3600.0,11.48,B,1 year,97000.0,Fully Paid,car
33000.0,8.49,B,5 years,92250.0,Fully Paid,other
14950.0,18.99,E,10+ years,68000.0,Fully Paid,debt_consolidation
15000.0,12.88,C,10+ years,154000.0,Fully Paid,debt_consolidation
7000.0,16.59,D,2 years,30100.0,Fully Paid,debt_consolidation
15000.0,16.59,D,10+ years,35300.0,Current,debt_consolidation
35000.0,12.88,C,4 years,98000.0,Fully Paid,debt_consolidation
8000.0,8.49,B,,58000.0,Fully Paid,credit_card
20000.0,11.99,C,8 years,40000.0,Charged Off,credit_card
14375.0,19.89,E,< 1 year,80000.0,Fully Paid,debt_consolidation
21000.0,9.17,B,< 1 year,85000.0,Fully Paid,debt_consolidation
3700.0,12.88,C,10+ years,65000.0,Fully Paid,debt_consolidation
8400.0,9.17,B,10+ years,85000.0,Charged Off,credit_card
7200.0,11.48,B,1 year,22000.0,Fully Paid,debt_consolidation
16800.0,8.49,B,8 years,85400.0,Fully Paid,debt_consolidation
9000.0,5.32,A,7 years,150000.0,Fully Paid,major_purchase
6000.0,13.99,C,6 years,43700.0,Fully Paid,home_improvement
34000.0,10.78,B,7 years,76497.0,Fully Paid,debt_consolidation
20000.0,11.99,C,10+ years,67000.0,Current,debt_consolidation
16000.0,12.88,C,10+ years,91000.0,Charged Off,debt_consolidation
11200.0,8.49,B,10+ years,70000.0,Fully Paid,debt_consolidation
21000.0,18.49,D,10+ years,95000.0,Current,debt_consolidation
16000.0,12.88,C,10+ years,65000.0,Current,credit_card
6000.0,7.91,A,10+ years,50000.0,Fully Paid,debt_consolidation
9100.0,6.49,A,4 years,84000.0,Fully Paid,credit_card
10000.0,6.99,A,10+ years,60000.0,Fully Paid,other
28000.0,10.78,B,3 years,135000.0,Late (31-120 days),debt_consolidation
30000.0,27.49,G,1 year,115000.0,Charged Off,other
8450.0,11.99,C,10+ years,37380.0,Fully Paid,debt_consolidation
8775.0,22.45,F,10+ years,75000.0,Fully Paid,credit_card
6000.0,5.32,A,5 years,72000.0,Fully Paid,debt_consolidation
10000.0,5.32,A,10+ years,75000.0,Fully Paid,debt_consolidation
10000.0,15.77,D,4 years,128000.0,Charged Off,debt_consolidation
7200.0,17.27,D,3 years,22000.0,Fully Paid,debt_consolidation
20000.0,14.85,C,5 years,75000.0,Fully Paid,debt_consolidation
20000.0,9.17,B,2 years,95750.0,Charged Off,debt_consolidation
5000.0,5.32,A,8 years,130000.0,Fully Paid,debt_consolidation
15000.0,9.8,B,< 1 year,35179.0,Charged Off,debt_consolidation
23950.0,17.97,D,3 years,160000.0,Charged Off,credit_card
15000.0,10.78,B,10+ years,160000.0,Fully Paid,debt_consolidation
2250.0,8.49,B,< 1 year,60000.0,Fully Paid,credit_card
14000.0,13.44,C,1 year,40000.0,Fully Paid,debt_consolidation
14000.0,12.88,C,2 years,80000.0,Charged Off,debt_consolidation
18000.0,7.49,A,3 years,83000.0,Fully Paid,debt_consolidation
12000.0,5.32,A,3 years,72500.0,Fully Paid,other
5600.0,10.78,B,10+ years,46000.0,Fully Paid,credit_card
35000.0,16.59,D,1 year,83000.0,Fully Paid,debt_consolidation
8000.0,12.88,C,3 years,43500.0,Charged Off,other
2400.0,13.44,C,3 years,26000.0,Fully Paid,debt_consolidation
35000.0,17.27,D,< 1 year,98000.0,Fully Paid,debt_consolidation
35000.0,10.78,B,10+ years,140000.0,Current,credit_card
7000.0,12.88,C,10+ years,55000.0,Fully Paid,other
8000.0,11.99,C,2 years,23200.0,Fully Paid,debt_consolidation
6125.0,17.27,D,4 years,70000.0,Fully Paid,debt_consolidation
10400.0,13.44,C,10+ years,150000.0,Charged Off,debt_consolidation
30000.0,7.91,A,5 years,134000.0,Fully Paid,debt_consolidation
4000.0,14.85,C,5 years,30000.0,Fully Paid,debt_consolidation
10000.0,10.78,B,10+ years,125000.0,Fully Paid,debt_consolidation
16000.0,7.91,A,< 1 year,50000.0,Fully Paid,debt_consolidation
24000.0,17.27,D,10+ years,67000.0,Charged Off,home_improvement
19225.0,26.99,G,< 1 year,56600.0,Charged Off,debt_consolidation
13000.0,12.88,C,5 years,130000.0,Charged Off,home_improvement
16800.0,9.17,B,7 years,52000.0,Current,debt_consolidation
2000.0,6.49,A,3 years,35037.0,Fully Paid,credit_card
19200.0,5.32,A,< 1 year,50000.0,Fully Paid,debt_consolidation
10000.0,13.44,C,10+ years,140000.0,Fully Paid,debt_consolidation
35000.0,7.91,A,4 years,165000.0,Fully Paid,debt_consolidation
15000.0,12.88,C,10+ years,60000.0,Fully Paid,debt_consolidation
35000.0,15.77,D,< 1 year,84468.0,Fully Paid,debt_consolidation
18000.0,8.49,B,< 1 year,55000.0,Fully Paid,credit_card
8000.0,9.8,B,6 years,40000.0,Charged Off,debt_consolidation
15000.0,12.88,C,10+ years,50000.0,Fully Paid,debt_consolidation
17400.0,8.49,B,10+ years,175000.0,Fully Paid,debt_consolidation
35000.0,11.99,C,10+ years,156000.0,Fully Paid,credit_card
12000.0,9.17,B,3 years,100000.0,Fully Paid,debt_consolidation
24000.0,9.17,B,10+ years,66000.0,Fully Paid,debt_consolidation
8000.0,7.91,A,5 years,66500.0,Fully Paid,home_improvement
16775.0,19.89,E,1 year,74000.0,Fully Paid,debt_consolidation
8000.0,8.49,B,3 years,48000.0,Fully Paid,credit_card
21000.0,10.78,B,< 1 year,100000.0,Fully Paid,debt_consolidation
20000.0,13.44,C,2 years,150000.0,Current,other
10000.0,12.88,C,< 1 year,113000.0,Fully Paid,credit_card
6000.0,7.91,A,< 1 year,81120.0,Fully Paid,debt_consolidation
6000.0,18.49,D,,54744.0,Fully Paid,debt_consolidation
8400.0,11.48,B,< 1 year,80000.0,Fully Paid,credit_card
10000.0,12.88,C,10+ years,33000.0,Fully Paid,credit_card
6000.0,9.17,B,2 years,72000.0,Fully Paid,credit_card
20000.0,8.49,B,10+ years,70000.0,Fully Paid,credit_card
4600.0,11.99,C,,14688.0,Fully Paid,credit_card
20000.0,17.27,D,10+ years,50000.0,Fully Paid,other
15000.0,9.17,B,2 years,48112.0,Fully Paid,credit_card
12000.0,12.88,C,4 years,40000.0,Fully Paid,debt_consolidation
